/var/spool/slurmd/job2511452/slurm_script: line 10: /home/bhagavan/CS433/pinns/bin/activate: No such file or directory
Python binary: /usr/bin/python
Python version: Python 3.9.10

Lmod is automatically replacing "gcc/11.3.0" with "intel/2021.6.0".


Lmod is automatically replacing "intel/2021.6.0" with "nvhpc/23.3-mpi".

wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: sathvikbhagavan (sathvikbhagavan-epfl). Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.18.7
wandb: Run data is saved locally in /home/bhagavan/CS-433/new/SteadyStateSplinePINNs/src/wandb/run-20250110_154822-k63ewncq
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run vague-voice-34
wandb: ⭐️ View project at https://wandb.ai/sathvikbhagavan-epfl/Spline-PINNs_with_heat_dp11
wandb: 🚀 View run at https://wandb.ai/sathvikbhagavan-epfl/Spline-PINNs_with_heat_dp11/runs/k63ewncq
Using device: cuda
Number of parameters in the model is: 1358120
Number of Outlet surface points: 10000, volume points: 96564, surface points: 195842
1/100
Number of Outlet surface points: 10000, volume points: 96463, surface points: 195807
Validation Divergence Loss: 0.1547413676293357, Validation X Momentum Loss: 577.3481508762504, Validation Y Momentum Loss: 583.2481477829255, Validation Z Momentum Loss: 716.4536874341412, Validation Outlet Boundary Loss: 0.006899809340779936, Validation Other Boundary Loss: 0.17161950899185285, Validation Heat Loss: 0.011371845640911968, Validation Surface Temperature Boundary Loss: 0.10763548752416571, Validation Total Loss: 1877.502254112444
Divergence Loss: 1.089532671314072, X Momentum Loss: 4046.312101890057, Y Momentum Loss: 4935.384946943072, Z Momentum Loss: 5285.334159362689, Inlet Boundary Loss: 2611.429353488471, Outlet Boundary Loss: 0.8684531985341345, Other Boundary Loss: 3.5455806181359524, Heat Loss: 0.7137978296248407 Inlet Temperature Boundary Loss: 0.35231493183363866 Surface Temperature Boundary Loss: 0.11128231000009543 Total Loss: 7680.581616244049
Divergence Loss: 1.088380600094662, X Momentum Loss: 3936.321314707578, Y Momentum Loss: 4875.576622512399, Z Momentum Loss: 5205.196028827843, Inlet Boundary Loss: 2611.2980195592063, Outlet Boundary Loss: 0.8669085945492245, Other Boundary Loss: 3.5581580832382604, Heat Loss: 0.7115951650186939 Inlet Temperature Boundary Loss: 0.35107327126975985 Surface Temperature Boundary Loss: 0.11115016482010243 Total Loss: 7556.465361137046
Divergence Loss: 1.0846259762327186, X Momentum Loss: 3615.2289762892347, Y Momentum Loss: 4683.458542768064, Z Momentum Loss: 4933.985909672269, Inlet Boundary Loss: 2610.80139551434, Outlet Boundary Loss: 0.8586000623964939, Other Boundary Loss: 3.599015873782771, Heat Loss: 0.7033101725404457 Inlet Temperature Boundary Loss: 0.3466931267793703 Surface Temperature Boundary Loss: 0.11042326524138726 Total Loss: 7188.544464834022
Divergence Loss: 1.045762738078716, X Momentum Loss: 2531.0929640357035, Y Momentum Loss: 3737.881695926106, Z Momentum Loss: 4091.3447889108725, Inlet Boundary Loss: 2606.466200819019, Outlet Boundary Loss: 0.7793376851334951, Other Boundary Loss: 3.7880227617830453, Heat Loss: 0.692305816890632 Inlet Temperature Boundary Loss: 0.34640548069136345 Surface Temperature Boundary Loss: 0.10545409462725536 Total Loss: 5921.252450881306
Divergence Loss: 0.9996957692688131, X Momentum Loss: 1922.068358182255, Y Momentum Loss: 2936.2801167778416, Z Momentum Loss: 3365.5117856410698, Inlet Boundary Loss: 2598.9941042280598, Outlet Boundary Loss: 0.6741036012743904, Other Boundary Loss: 3.9510267619034147, Heat Loss: 0.6724557616992886 Inlet Temperature Boundary Loss: 0.3635787261692491 Surface Temperature Boundary Loss: 0.1033182970701053 Total Loss: 5152.011057011308
Divergence Loss: 0.9516584825682551, X Momentum Loss: 1455.0204774110664, Y Momentum Loss: 2416.7952711431376, Z Momentum Loss: 2518.0313291291536, Inlet Boundary Loss: 2590.9047804560983, Outlet Boundary Loss: 0.5308136868814751, Other Boundary Loss: 4.141905405007614, Heat Loss: 0.6749013451250541 Inlet Temperature Boundary Loss: 0.37853617995004546 Surface Temperature Boundary Loss: 0.10587962651032674 Total Loss: 4540.181579030857
Divergence Loss: 0.9096846795978253, X Momentum Loss: 1159.183494376732, Y Momentum Loss: 1965.2654926939324, Z Momentum Loss: 2001.7364588125026, Inlet Boundary Loss: 2579.822207109335, Outlet Boundary Loss: 0.4220794020690427, Other Boundary Loss: 4.383571218472048, Heat Loss: 0.6826275079590473 Inlet Temperature Boundary Loss: 0.39405016796286413 Surface Temperature Boundary Loss: 0.11300755082015908 Total Loss: 4136.498105485136
Divergence Loss: 0.8753969871680344, X Momentum Loss: 911.6279485747835, Y Momentum Loss: 1630.549163410811, Z Momentum Loss: 1586.07183430188, Inlet Boundary Loss: 2566.46149870854, Outlet Boundary Loss: 0.3163222812053386, Other Boundary Loss: 4.799169945629939, Heat Loss: 0.6837789724792666 Inlet Temperature Boundary Loss: 0.39981744193156904 Surface Temperature Boundary Loss: 0.12258970372130516 Total Loss: 3800.581585321155
Divergence Loss: 0.8169743250342014, X Momentum Loss: 706.5787227481844, Y Momentum Loss: 1363.4494025136662, Z Momentum Loss: 1229.8622227494318, Inlet Boundary Loss: 2546.877664925058, Outlet Boundary Loss: 0.2030983922133783, Other Boundary Loss: 5.159371848712041, Heat Loss: 0.6914121734235386 Inlet Temperature Boundary Loss: 0.3793267902654517 Surface Temperature Boundary Loss: 0.13100083728733247 Total Loss: 3513.6435693898047
Divergence Loss: 0.7585592778725122, X Momentum Loss: 540.7846860349018, Y Momentum Loss: 1162.9792209122822, Z Momentum Loss: 955.1915529462327, Inlet Boundary Loss: 2522.682422907649, Outlet Boundary Loss: 0.1252916726311806, Other Boundary Loss: 5.548258315027438, Heat Loss: 0.6942667348251129 Inlet Temperature Boundary Loss: 0.38188988691922077 Surface Temperature Boundary Loss: 0.15530319607156218 Total Loss: 3276.1903161132022
